id,form,type,translation_lexeme,analysis,translation
79.1,tfRe,word,plant,MW.tfRa.86539 Loc.M.S,(Rudra) in the plant[RV; SR: oṣadhīṣu]
80.1,vama,word,emitting,MW.vama.186418 Voc.M.S,O emitter[√वम् अच्]
81.1,rava,word,Roaring,DHATU.ru. KRT.ac Voc.M.S,O Roaring[√रु अच्] destroyer[AV; मथ् शतृ]
81.1,maTan,word,Destroyer,DHATU.maTe~. KRT.Satf Nom.M.S,O Roaring[√रु अच्] destroyer[AV; मथ् शतृ]
85.1,jaya,word,many,MW.jaya.77323 Voc.M.S,O Jaya (N. of author of RV 10.180 and many kings)
87.1,rava,word,roaring,DHATU.ru. KRT.ac Voc.M.S,O roaring[√रु अच्] destroyer[MBh]
87.1,Samana,word,destroying,MW.Samana.212955 Voc.M.S,O roaring[√रु अच्] destroyer[MBh]
88.1,A,stem,fully,MW.A.22011,O all powerful one[MBh][SR: sarveśvara]
88.1,Sakya,word,powerful,MW.Sakya.211037 Voc.M.S,O all powerful one[MBh][SR: sarveśvara]
89.1,cazaRavAn,word,Therefore,DHATU.caza~^.1 KRT.lyuw TAD.matup Nom.M.S,"Therefore[RV], the eater[√चष ल्युट् मतुप्][annāda]"
89.1,tadA,word,At that time,INDC.tadA.82170,"Therefore[RV], the eater[√चष ल्युट् मतुप्][annāda]"
91.1,sad,stem,good,MW.sad.229500,O existence[RV] bearer[RV]
91.1,vahana,word,bearer,MW.vahana.189285 Voc.M.S,O existence[RV] bearer[RV]
92.1,rava,word,Roaring,DHATU.ru. KRT.ac Voc.M.S,O Roaring[√रु अच्] Destroyer[Pañcat]
92.1,SAmana,word,Destroyer,MW.SAmana.215562 Voc.M.S,O Roaring[√रु अच्] Destroyer[Pañcat]
93.1,analavat,stem,fire,MW.anala.5252 TAD.matup,granted[RV] in the presence of fire[AgP:अनल मतुप्] 
93.1,dattam,word,of,MW.datta.89792 Acc.M.S,granted[RV] in the presence of fire[AgP:अनल मतुप्] 
94.1,Ava,word,power,DHATU.ava~. TIN.liw.1.S,My I gain power[√अव् लिट् 1s] there[RV] O honored one[आ-√मान् अच्]
94.1,AmAna,word,one,DHATU.A-mAna~.Curadi KRT.GaY Voc.M.S,My I gain power[√अव् लिट् 1s] there[RV] O honored one[आ-√मान् अच्]
94.1,tatra,word,there,INDC.tatra.81977,My I gain power[√अव् लिट् 1s] there[RV] O honored one[आ-√मान् अच्]
96.1,madana,stem,ma,MW.madana.155460,O Destroyer[मष् शतृॅं] of Kāma[MBh]
96.1,mazan,word,destroyer,DHATU.maza~. KRT.Satf Voc.M.S,O Destroyer[मष् शतृॅं] of Kāma[MBh]
97.1,maYja,stem,roarer,DHATU.maYja~. KRT.ac Voc.M.S,O Roarer[√मञ्ज्] to be appeased[MW]
97.1,Samya,word,to be,MW.Samya.213035 Voc.M.S,O Roarer[√मञ्ज्] to be appeased[MW]
98.1,ravasa,stem,Roarer,MW.ravasa.175333,O Roaring[RV] ever meditating one[√मन् यङि अच्](Rudra)
98.1,mammana,word,ever meditating,DHATU.manu~\. KRT.yaN.ac Voc.M.S,O Roaring[RV] ever meditating one[√मन् यङि अच्](Rudra)
99.1,dame,word,house,MW.dama.90254 Loc.M.S,Tanva(author RV 10.93) is wisdom[RV] of the house[RV] 
99.1,manmanaH,word,wisdom,MW.manman Gen.N.S,Tanva(author RV 10.93) is wisdom[RV] of the house[RV] 
99.1,tanvaH,word,N. of the author of a Sāman,MW.tanva.82603 Nom.M.S,Tanva(author RV 10.93) is wisdom[RV] of the house[RV] 
100.1,damana,word,subduing,MW.damana.90271 Voc.M.S,"O subduer[MBh], O unthwartable[RV 8.92.8 Indra]"
100.1,avarya,word,unthwartable,DHATU.vara. KRT.yat NEG Voc.M.S,"O subduer[MBh], O unthwartable[RV 8.92.8 Indra]"
101.1,carma,word,shield,MW.carman.72544 Acc.N.S,shield[MBh] like[RV]
101.1,samam,word,like,MW.sama.232990 Acc.N.S,shield[MBh] like[RV]
103.1,adIna,word,noble minded,MW.adIna.3704 Voc.M.S,O noble minded one[MBh; 1000 names of Siva]
104.1,damana,stem,subduing,MW.damana.90271,O subduing[MBh] victor[AV]
104.1,jaya,word,victor,MW.jaya.77323 Voc.M.S,O subduing[MBh] victor[AV]
107.1,ara,stem,wandering,DHATU.f.Bhvadi KRT.ac Voc.M.S,O wandering[√ऋ घञ्] ārya
107.1,Arya,word,Arya,MW.Arya.26533 Voc.M.S,O wandering[√ऋ घञ्] ārya
108.1,maya,word,horse,MW.maya.157985 Voc.M.S,O horse (as Rudra)[VS]/O Injurer[√मी + अच्]
109.1,raraRa,word,water,DHATU.raRa~. TIN.liw.1.S,The ruler of water[VS] roars[√रण् लिट् used as present tense; Sri Rudram 7]
109.1,sara,stem,water,MW.sara.237445,The ruler of water[VS] roars[√रण् लिट् used as present tense; Sri Rudram 7]
109.1,pa,word,ruler,MW.pa.113043 Voc.M.S,The ruler of water[VS] roars[√रण् लिट् used as present tense; Sri Rudram 7]
110.1,vajat,stem,mighty,DHATU.vaja~. KRT.Satf,"O mighty[√वज् शतृ] Punisher[√तड् अच्], O Immovable[VP] Subduer[RV]"
110.1,taqa,word,punisher,DHATU.taqa~.Curadi KRT.ac Voc.M.S,"O mighty[√वज् शतृ] Punisher[√तड् अच्], O Immovable[VP] Subduer[RV]"
110.1,acala,stem,Immovable,MW.acala.1790,"O mighty[√वज् शतृ] Punisher[√तड् अच्], O Immovable[VP] Subduer[RV]"
110.1,radDa,stem,subdued,MW.radDa.174808,"O mighty[√वज् शतृ] Punisher[√तड् अच्], O Immovable[VP] Subduer[RV]"
110.1,da,word,giver,MW.da.89220 Voc.M.S,"O mighty[√वज् शतृ] Punisher[√तड् अच्], O Immovable[VP] Subduer[RV]"
111.1,fzwa,stem,thrust,MW.fzwa.39041,O Roaring one[√रस् तसिल्] who bends (bows)[√नम् शतृ]; O possessor of all things[MBh]
111.1,hanman,word,blow,MW.hanman.260462  Voc.M.S,O Roaring one[√रस् तसिल्] who bends (bows)[√नम् शतृ]; O possessor of all things[MBh]
111.1,sam,stem,complete,MW.sam.232987,O Roaring one[√रस् तसिल्] who bends (bows)[√नम् शतृ]; O possessor of all things[MBh]
111.1,DAra,word,holding,MW.DAra.100944 Voc.M.S,O Roaring one[√रस् तसिल्] who bends (bows)[√नम् शतृ]; O possessor of all things[MBh]
113.1,pata,stem,flying,MW.pata,The one with flying arrows[SR: niśīrya-śalya/iṣavaḥ vapa/visṛjya]
113.1,SaraH,word,arrows,MW.Sara.213454 Nom.M.S,The one with broken/lowered/released arrows[SR: niśīrya-śalya/iṣavaḥ vapa/visṛjya]
114.1,trEtAH,word,man,MW.trEta.88674 Nom.M.P,Traita sāman[TāṇḍyaBr]
120.1,daDya,word,meditate,DHATU.DyE\. TIN.liw.2.P,May you all meditate[√ध्ययै लिट् 2p.]
121.1,samara,stem,confluence,MW.samara.233742,O driver[√ऋ अच्] of the confluence[RV] that should flow[RV]
121.1,raPya,stem,go,DHATU.raPa~.Bhvadi KRT.yat,O driver[√ऋ अच्] of the confluence[RV] that should flow[RV]
121.1,ara,word,driver,DHATU.f.Bhvadi KRT.ac Voc.M.S,O driver[√ऋ अच्] of the confluence[RV] that should flow[RV]
123.1,rata,word,pleased,MW.rata.174224 Voc.M.S,O my pleased[BhP] Kāma[Mbh]
123.1,mama,word,my,PRON.asmad. Gen.M.S,O my pleased[BhP] Kāma[Mbh]
123.1,madana,word,Kāma,MW.madana.155460 Voc.M.S,O my pleased[BhP] Kāma[Mbh]
124.1,pra,stem,forward,MW.pra.129752.1,O loud Roarer[प्र-√रु अच्]
124.1,rava,word,Roarer,MW.rava.175305 Voc.M.S,O loud Roarer[प्र-√रु अच्]
125.1,ana,stem,breath,MW.ana.4783,O who holds destruction[RV ध्वस्र इनि] of breath/Prāṇa[ŚBr]
125.1,DvasrI,word,decaying,MW.Dvasra.102563 TAD.ini Nom.M.S,O who holds destruction[RV ध्वस्र इनि] of breath/Prāṇa[ŚBr]
127.1,sadaya,word,merciful,MW.sadaya.230686 Voc.M.S,O merciful one[SkandaP: N. of Vishnu]
128.1,naya,word,leader,MW.naya.103925 Voc.M.S,O leader (of army)[R; senāpati:Sri Rudram]
129.1,tA,word,Roarer,MW.tan.82220 Nom.M.S,The Roarer[√तन् nms]
130.1,rava,word,Roarer,MW.rava.175305 Voc.M.S,Roarer[रु] destroyer[भस्] of hundred[RV] deaths[AitUp]
130.1,Sata,stem,hundred,MW.Sata.211813,Roarer[रु] destroyer[भस्] of hundred[RV] deaths[AitUp]
130.1,maraRa,stem,of,MW.maraRa.158120,Roarer[रु] destroyer[भस्] of hundred[RV] deaths[AitUp]
130.1,Basa,word,destroyer,DHATU.Basa~. KRT.ac Voc.M.S,Roarer[रु] destroyer[भस्] of hundred[RV] deaths[AitUp]
131.1,aDana,word,wealth,MW.aDana.3955 Voc.M.S,O one without wealth[Sri Rudram दरिद्र]
132.1,rava,stem,Roaring,DHATU.ru. KRT.ac Voc.M.S,O Roaring[√रु अच्] pervader[√तन् अच्]
132.1,tana,stem,roarer,DHATU.tanu~.Curadi KRT.ac Voc.M.S,O Roaring[√रु अच्] pervader[√तन् अच्]
133.1,Dana,word,treasure,MW.Dana.99260 Voc.M.S,O treasure[RV]
134.1,anDa,stem,darkness,MW.anDa.8413,O one who drives[√अज् अच्] away darkness(literally as the Sun and spiritually)[R]
