id,word,seal_id,code,modifier,pratyaya,kartari,gender,vacana,purusha,vibhakti,comment
313,ravat,*,MW:ravat,,,,,,,,
314,ravata,*,MW:ravata,,,,,,,,
315,ravati,*,MW:ravati,,,,,,,,
316,ravsa,*,MW:ravsa,,,,,,,,
317,raya,*,MW:raya,,,,,,,,
318,rezma,*,MW:rezma,,,,,,,,
319,sa,*,MW:sa,,,,,,,,
320,saBA,*,MW:saBA,,,,,,,,
321,saBam,*,MW:saBa,sup,,,1,1,,2,
322,sad,*,MW:sad,,,,,,,,
323,Sada,*,MW:Sada,,,,,,,,
324,sadavat,*,MW:sadavat,,,,,,,,
325,saha,*,MW:saha,,,,,,,,
326,sAha,*,MW:sAha,,,,,,,,
327,sahat,*,MW:sahat,,,,,,,,
328,sakza,*,MW:sakza,,,,,,,,
329,sala,*,MW:sala,,,,,,,,
330,sam,*,MW:sam,,,,,,,,
331,saM,*,MW:saM,,,,,,,,
332,SaM,*,MW:Sam,,,,,,,,
333,sama,*,MW:sama,,,,,,,,
334,sAma,*,MW:sAma,,,,,,,,
335,Sama,*,MW:Sama,,,,,,,,
336,SAma,*,MW:SAma,,,,,,,,
337,samam,*,MW:samam,,,,,,,,
338,samAna,*,MW:samAna,,,,,,,,
339,Samana,*,MW:Samana,,,,,,,,
340,samara,*,MW:samara,,,,,,,,
341,saMjvara,*,MW:saMjvara,,,,,,,,
342,sana,*,MW:sana,,,,,,,,
343,sanmAni,*,MW:sanmAni,,,,,,,,
344,sara,*,MW:sara,,,,,,,,
345,sAra,*,MW:sAra,,,,,,,,
346,Sara,*,MW:Sara,,,,,,,,
347,SaraRa,*,MW:SaraRa,,,,,,,,
348,sarva,*,MW:sarva,,,,,,,,
349,SAsa,*,MW:SAsa,,,,,,,,
350,SAsam,*,MW:SAsa,sup,,,1,1,,2,
351,SasmanA,*,MW:SasmanA,,,,,,,,
352,Sasta,*,MW:Sasta,,,,,,,,
353,sat,*,MW:sat,,,,,,,,
354,SatAt,*,MW:Sata,sup,,,1,1,,5,
355,sattama,*,MW:sattama,,,,,,,,
356,sAta,*,MW:sAta,,,,,,,,
357,sAtA,*,MW:sAtA,,,,,,,,
358,Sata,*,MW:Sata,,,,,,,,
359,SatadA,*,MW:SatadA,,,,,,,,
360,sava,*,MW:sava,,,,,,,,
361,sva,*,MW:sva,,,,,,,,
362,svaDA,*,MW:svaDA,,,,,,,,
363,tad,*,MW:tad,,,,,,,,
364,tada,*,MW:tada,,,,,,,,
365,tadanna,*,MW:tadanna,,,,,,,,
366,tala,*,MW:tala,,,,,,,,
367,talva,*,MW:talva,,,,,,,,
368,tama,*,MW:tama,,,,,,,,
369,tAma,*,MW:tAma,,,,,,,,
370,tamaH,*,MW:tamaH,,,,,,,,
371,tamana,*,MW:tamana,,,,,,,,
372,tamas,*,MW:tamas,,,,,,,,
373,tamasa,*,MW:tamasa,,,,,,,,
374,tamata,*,MW:tamata,,,,,,,,
375,tamra,*,MW:tamra,,,,,,,,
376,tana,*,MW:tana,,,,,,,,
377,tAna,*,MW:tAna,,,,,,,,
378,tanavat,*,MW:tanavat,,,,,,,,
379,tApa,*,MW:tApa,,,,,,,,
380,taqa,*,MW:taqa,,,,,,,,
381,tara,*,MW:tara,,,,,,,,
382,tAra,*,MW:tAra,,,,,,,,
383,tAras,*,MW:tAras,,,,,,,,
384,taru,*,MW:taru,,,,,,,,
385,tasa,*,MW:tasa,,,,,,,,
386,tasavat,*,MW:tasavat,,,,,,,,
387,tat,*,MW:tat,,,,,,,,
388,tata,*,MW:tata,,,,,,,,
389,tattva,*,MW:tattva,,,,,,,,
